Unnamed: 0,Car Name,Auction Rating,Model Year,Mileage,Fuel Type,Engine Capacity,Transmission,Engine Unit,Price (PKR)
308,BMW 7 Series  2025 i7 M70 xDrive for Sale,,2025,22000,Electric,101,Automatic,kWh,73000000
309,BMW 5 Series 5th (E60) Generation 2004 530i for Sale,,2004,79000,Petrol,3000,Automatic,cc,5000000
310,BMW 5 Series  2017 530e for Sale,,2017,17000,Hybrid,2000,Automatic,cc,27500000
311,BMW X1  2017 sDrive18i A/T for Sale,,2017,27000,Petrol,1500,Automatic,cc,7200000
312,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,6000,Electric,101.7,Automatic,kWh,60000000
313,BMW X5  2012 xDrive50i for Sale,,2012,95000,Petrol,4400,Automatic,cc,18000000
314,BMW X1  2017 sDrive18i A/T for Sale,,2017,154548,Petrol,1500,Automatic,cc,6850000
315,BMW 7 Series  2018 740 Le xDrive for Sale,,2018,30000,Hybrid,2000,Automatic,cc,42000000
316,BMW 7 Series 5th (F01) Generation 2013 ActiveHybrid 7L for Sale,,2013,105000,Hybrid,3000,Automatic,cc,18000000
317,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,800,Electric,105,Automatic,kWh,56500000
318,BMW 7 Series  2005  for Sale,,2005,110000,Petrol,4000,Automatic,cc,5400000
319,BMW 5 Series 5th (E60) Generation 2005 530i for Sale,,2005,108500,Petrol,3000,Automatic,cc,4000000
320,BMW X5  2021 xDrive45e for Sale,,2021,76831,PHEV,3000,Automatic,cc,50000000
321,BMW X5  2005 4.4i for Sale,,2005,133000,Petrol,4400,Automatic,cc,5850000
322,BMW X1  2017 sDrive18i A/T for Sale,,2017,103000,Petrol,1500,Automatic,cc,7200000
323,BMW 7 Series 5th (F01) Generation 2013 ActiveHybrid 7 for Sale,,2013,75000,Hybrid,3000,Automatic,cc,17500000
324,BMW 5 Series 5th (E60) Generation 2006 530i for Sale,,2006,190000,Petrol,3000,Automatic,cc,4050000
325,BMW 3 Series 5th (E90) Generation 2005 320i for Sale,,2005,2000,Petrol,2000,Automatic,cc,4700000
326,BMW X3  2008  for Sale,,2008,92000,Petrol,2500,Automatic,cc,4000000
327,BMW 5 Series 5th (E60) Generation 2004 530i for Sale,,2004,53000,Petrol,3000,Automatic,cc,7000000
328,BMW X1  2017 sDrive18i A/T for Sale,,2017,123455,Petrol,1500,Automatic,cc,6300000
329,BMW 5 Series 5th (E60) Generation 2004 545i for Sale,,2004,220000,Petrol,4400,Automatic,cc,5700000
330,BMW X1  2017  for Sale,,2017,120000,Petrol,1500,Automatic,cc,6870000
331,BMW X5  2003 3.0i for Sale,,2003,250000,Petrol,3000,Automatic,cc,3800000
332,BMW 7 Series  2005  for Sale,,2005,288000,Diesel,3000,Automatic,cc,5000000
333,BMW 7 Series  2024 i7 xDrive60 M Sports for Sale,,2024,6800,Electric,105,Automatic,kWh,49500000
334,BMW 3 Series  2014 316i for Sale,,2014,36200,Petrol,1600,Automatic,cc,9500000
335,BMW 3 Series  2016 318i for Sale,,2016,105000,Petrol,1600,Automatic,cc,9450000
336,BMW M Series  2002  for Sale,,2002,182000,Petrol,3200,Manual,cc,14500000
337,BMW 7 Series  2024 i7 xDrive50 M Sport for Sale,,2024,7000,Electric,101.7,Automatic,kWh,62000000
338,BMW 7 Series  2017 740 Le xDrive for Sale,,2017,62000,Hybrid,2000,Automatic,cc,38500000
339,BMW X5  2007 xDrive30d for Sale,,2007,103000,Diesel,3000,Automatic,cc,8475000
340,BMW iX3  2022 M Sport for Sale,,2022,13500,Electric,73,Automatic,kWh,20000000
341,BMW 3 Series  2013  for Sale,,2013,70000,Petrol,1600,Manual,cc,8000000
342,BMW M5  2019  for Sale,,2019,59000,Petrol,4400,Automatic,cc,45500000
343,BMW 3 Series  1996  for Sale,,1996,55000,Petrol,3000,Manual,cc,1850000
